D,length_x,length_y
2,1,1
3,1,1
5,1,1
6,1,1
7,1,1
8,1,1
10,1,2
11,1,2
13,3,3
29,4,4
46,4,5
53,4,5
58,4,5
61,9,10
109,14,15
181,18,19
277,19,21
397,20,21
409,22,23
421,33,34
541,36,37
661,36,38
1021,46,48
1069,47,48
1381,64,65
1549,70,71
1621,75,76
2389,85,87
3061,103,105
3469,112,113
4621,123,124
4789,127,129
4909,132,134
5581,143,145
6301,152,154
6829,160,162
8269,168,170
8821,168,170
8941,200,202
9949,210,212
12541,234,236
13381,254,256
16069,259,261
17341,276,278
20101,276,278
24049,279,281
24229,301,303
25309,325,328
29269,328,330
30781,358,361
32341,391,394
36061,394,396
39901,446,449
40429,449,451
43261,476,478
56149,508,510
58909,523,525
60589,551,554
63781,560,563
74869,597,599
82021,680,682
92821,722,724
107101,723,726
115021,768,771
125101,815,818
136189,863,865
140221,884,886
144589,890,892
145861,910,913
169789,999,1002
199021,1066,1069
202981,1109,1112
216661,1118,1121
219829,1133,1135
226669,1148,1150
231709,1155,1158
245389,1162,1165
259429,1164,1166
266029,1190,1193
271021,1234,1236
300301,1386,1389
330229,1433,1436
379549,1452,1455
395509,1610,1613
448309,1615,1618
451669,1697,1700
455701,1754,1757
492781,1790,1793
548461,1826,1828
596821,1836,1839
602221,1931,1934
611389,1997,2000
617269,2025,2028
664381,2045,2048
679669,2101,2104
731509,2132,2135
759301,2245,2248
774229,2285,2288
799621,2395,2398
952429,2472,2475
1026061,2552,2555
1027261,2635,2638
1047589,2648,2651
1053061,2648,2651
1094461,2657,2660
1117741,2702,2705
1130581,2703,2706
1167709,2777,2780
1261549,2855,2858
1331269,2877,2881
1336141,3161,3164
1404181,3177,3180
1508389,3195,3198
1536781,3216,3219
1546141,3332,3336
1627861,3452,3455
1834309,3698,3701
1910869,3737,3740
1940821,3763,3766
2065501,3805,3808
2110189,3860,3863
2302309,3889,3892
2314909,4012,4015
2375389,4122,4125
2471869,4271,4274
2656501,4328,4331
2679301,4384,4387
2747221,4507,4511
2890189,4569,4572
2927149,4620,4623
3089629,4759,4762
3220669,4815,4819
3377221,4895,4898
3382549,4902,4906
3412861,4940,4943
3414349,4997,5001
3462229,5273,5276
3941029,5280,5284
4017589,5353,5356
4207141,5586,5589
4434901,5594,5598
4574749,5606,5609
4628101,5890,5894
4635541,5933,5936
4835821,5936,5939
5106469,6052,6055
5256469,6294,6297
5429869,6411,6414
5710189,6415,6418
5945941,6603,6606
5956549,6703,6707
6105661,6832,6835
6481861,6962,6965
6760909,7048,7051
6765301,7189,7193
6810301,7521,7524
7485949,7736,7739
7934749,7925,7928
8061421,7931,7935
8356261,7949,7952
8615149,8072,8076
8658589,8401,8404
9508669,8433,8437
9549901,8490,8493
9554869,8621,8625
9670621,8678,8682
9747061,8979,8982
10675261,9132,9135
10774261,9341,9344
11486029,9685,9689
12443029,9928,9932
12765349,10189,10192
13702621,10288,10292
13778389,10320,10324
14005429,10367,10370
14011141,10467,10471
14536141,10776,10779
15167629,10811,10814
15652261,10872,10876
15725389,10889,10892
15772381,11109,11113
15890989,11136,11140
16285669,11251,11255
16561549,11373,11377
16589101,11538,11542
16671901,11638,11642
17100301,11876,11880
18355429,12152,12156
18526069,12355,12359
19020901,12374,12378
19543549,12394,12398
19572589,12658,12662
20778781,12866,12870
21030109,13353,13356
22027021,13584,13587
23404021,13736,13739
23493661,14290,14293
24619501,14511,14514
25959781,15100,15104
28024621,15292,15295
30306901,15588,15592
30384589,15786,15789
30490069,15967,15971
31757749,16392,16396
