n = 1, det = 1
n = 2, det = 1
n = 4, det = 1
n = 11, det = 1
n = 13, det = 1
n = 20, det = 1
n = 23, det = 1
n = 24, det = 1
n = 25, det = 1
n = 26, det = 1
n = 27, det = 1
n = 28, det = 1
n = 32, det = 1
n = 35, det = 1
n = 39, det = 1
n = 44, det = 1
n = 45, det = 1
n = 46, det = 1
n = 48, det = 1
n = 51, det = 1
n = 52, det = 1
n = 57, det = 1
n = 58, det = 1
n = 61, det = 1
n = 67, det = 1
n = 72, det = 1
n = 74, det = 1
n = 76, det = 1
n = 82, det = 1
n = 89, det = 1
n = 90, det = 1
n = 92, det = 1
n = 94, det = 1
n = 96, det = 1
n = 113, det = 1
n = 122, det = 1
n = 123, det = 1
n = 128, det = 1
n = 132, det = 1
n = 133, det = 1
n = 137, det = 1
n = 143, det = 1
n = 144, det = 1
n = 151, det = 1
n = 159, det = 1
n = 160, det = 1
n = 162, det = 1
n = 164, det = 1
n = 167, det = 1
n = 169, det = 1
n = 172, det = 1
n = 187, det = 1
n = 188, det = 1
n = 191, det = 1
n = 192, det = 1
n = 201, det = 1
n = 202, det = 1
n = 205, det = 1
n = 206, det = 1
n = 210, det = 1
n = 212, det = 1
n = 215, det = 1
n = 217, det = 1
n = 218, det = 1
n = 223, det = 1
n = 224, det = 1
n = 229, det = 1
n = 232, det = 1
n = 240, det = 1
n = 246, det = 1
n = 248, det = 1
n = 249, det = 1
n = 250, det = 1
n = 253, det = 1
n = 265, det = 1
n = 266, det = 1
n = 267, det = 1
n = 270, det = 1
n = 273, det = 1
n = 274, det = 1
n = 276, det = 1
n = 277, det = 1
n = 280, det = 1
n = 281, det = 1
n = 290, det = 1
n = 291, det = 1
n = 294, det = 1
n = 297, det = 1
n = 302, det = 1
n = 308, det = 1
n = 313, det = 1
n = 316, det = 1
n = 319, det = 1
n = 320, det = 1
n = 321, det = 1
n = 324, det = 1
n = 326, det = 1
n = 328, det = 1
n = 330, det = 1
n = 334, det = 1
n = 335, det = 1
n = 337, det = 1
n = 338, det = 1
n = 345, det = 1
n = 346, det = 1
n = 347, det = 1
n = 349, det = 1
n = 351, det = 1
n = 352, det = 1
n = 354, det = 1
n = 356, det = 1
n = 357, det = 1
n = 361, det = 1
n = 369, det = 1
n = 372, det = 1
n = 374, det = 1
n = 381, det = 1
n = 382, det = 1
n = 388, det = 1
n = 389, det = 1
n = 391, det = 1
n = 396, det = 1
n = 398, det = 1
n = 399, det = 1
n = 402, det = 1
n = 406, det = 1
n = 409, det = 1
n = 412, det = 1
n = 413, det = 1
n = 417, det = 1
n = 422, det = 1
n = 423, det = 1
n = 424, det = 1
n = 428, det = 1
n = 433, det = 1
n = 447, det = 1
n = 449, det = 1
n = 463, det = 1
n = 464, det = 1
n = 466, det = 1
n = 473, det = 1
n = 474, det = 1
n = 476, det = 1
n = 480, det = 1
n = 487, det = 1
n = 496, det = 1
n = 501, det = 1
n = 504, det = 1
n = 508, det = 1
n = 511, det = 1
n = 512, det = 1
n = 521, det = 1
n = 523, det = 1
n = 528, det = 1
n = 539, det = 1
n = 542, det = 1
n = 546, det = 1
n = 550, det = 1
n = 553, det = 1
n = 558, det = 1
n = 564, det = 1
n = 566, det = 1
n = 570, det = 1
n = 573, det = 1
n = 575, det = 1
n = 580, det = 1
n = 583, det = 1
n = 585, det = 1
n = 586, det = 1
n = 591, det = 1
n = 596, det = 1
n = 597, det = 1
n = 598, det = 1
n = 599, det = 1
n = 607, det = 1
n = 612, det = 1
n = 614, det = 1
n = 615, det = 1
n = 617, det = 1
n = 618, det = 1
n = 622, det = 1
n = 623, det = 1
n = 625, det = 1
n = 628, det = 1
n = 630, det = 1
n = 643, det = 1
n = 646, det = 1
n = 650, det = 1
n = 652, det = 1
n = 656, det = 1
n = 657, det = 1
n = 659, det = 1
n = 661, det = 1
n = 663, det = 1
n = 669, det = 1
n = 678, det = 1
n = 680, det = 1
n = 682, det = 1
n = 683, det = 1
n = 686, det = 1
n = 688, det = 1
n = 690, det = 1
n = 693, det = 1
n = 697, det = 1
n = 698, det = 1
n = 700, det = 1
n = 712, det = 1
n = 716, det = 1
n = 719, det = 1
n = 723, det = 1
n = 724, det = 1
n = 733, det = 1
n = 737, det = 1
n = 738, det = 1
n = 743, det = 1
n = 746, det = 1
n = 747, det = 1
n = 749, det = 1
n = 761, det = 1
n = 762, det = 1
n = 765, det = 1
n = 766, det = 1
n = 779, det = 1
n = 780, det = 1
n = 782, det = 1
n = 785, det = 1
n = 788, det = 1
n = 789, det = 1
n = 790, det = 1
n = 791, det = 1
n = 792, det = 1
n = 793, det = 1
n = 794, det = 1
n = 797, det = 1
n = 810, det = 1
n = 811, det = 1
n = 814, det = 1
n = 816, det = 1
n = 821, det = 1
n = 824, det = 1
n = 828, det = 1
n = 837, det = 1
n = 843, det = 1
n = 844, det = 1
n = 848, det = 1
n = 850, det = 1
n = 851, det = 1
n = 854, det = 1
n = 855, det = 1
n = 856, det = 1
n = 859, det = 1
n = 861, det = 1
n = 863, det = 1
n = 868, det = 1
n = 878, det = 1
n = 881, det = 1
n = 888, det = 1
n = 889, det = 1
n = 891, det = 1
n = 894, det = 1
n = 900, det = 1
n = 906, det = 1
n = 912, det = 1
n = 914, det = 1
n = 916, det = 1
n = 922, det = 1
n = 925, det = 1
n = 927, det = 1
n = 928, det = 1
n = 936, det = 1
n = 943, det = 1
n = 944, det = 1
n = 951, det = 1
n = 953, det = 1
n = 955, det = 1
n = 957, det = 1
n = 958, det = 1
n = 960, det = 1
n = 962, det = 1
n = 964, det = 1
n = 965, det = 1
n = 966, det = 1
n = 972, det = 1
n = 973, det = 1
n = 974, det = 1
n = 975, det = 1
n = 976, det = 1
n = 987, det = 1
n = 990, det = 1
n = 1000, det = 1
