Lowest value not constructed was 185297 

9 <- 113087! + 19 sqrt
113087 <- 6636426! + 23 sqrt
6636426 <- 720! + 8 sqrt
720 <- 6! + 0 sqrt
6 <- 3! + 0 sqrt

3004 <- 24027433191! + 36 sqrt
24027433191 <- 144008! + 16 sqrt
144008 <- 3409! + 11 sqrt
3409 <- 4747450! + 23 sqrt
4747450 <- 343099! + 18 sqrt
343099 <- 191! + 6 sqrt
191 <- 94! + 6 sqrt
94 <- 18! + 3 sqrt
18 <- 6636426! + 25 sqrt
6636426 <- 720! + 8 sqrt
720 <- 6! + 0 sqrt
6 <- 3! + 0 sqrt

10509 <- 773183! + 20 sqrt
773183 <- 2805711903! + 32 sqrt
2805711903 <- 314532205! + 28 sqrt
314532205 <- 214357510699! + 38 sqrt
214357510699 <- 27159309! + 24 sqrt
27159309 <- 200194! + 17 sqrt
200194 <- 350909888! + 29 sqrt
350909888 <- 552211294! + 29 sqrt
552211294 <- 836683768505! + 40 sqrt
836683768505 <- 359! + 6 sqrt
359 <- 316! + 8 sqrt
316 <- 35! + 4 sqrt
35 <- 120! + 7 sqrt
120 <- 5! + 0 sqrt
5 <- 6! + 2 sqrt
6 <- 3! + 0 sqrt

22701 <- 291239685! + 29 sqrt
291239685 <- 119473! + 16 sqrt
119473 <- 67144620530! + 37 sqrt
67144620530 <- 22624! + 13 sqrt
22624 <- 427616344945! + 40 sqrt
427616344945 <- 2772629089! + 31 sqrt
2772629089 <- 901222638870! + 40 sqrt
901222638870 <- 580113997842! + 39 sqrt
580113997842 <- 305294! + 17 sqrt
305294 <- 187806481! + 28 sqrt
187806481 <- 5167! + 11 sqrt
5167 <- 47! + 4 sqrt
47 <- 74! + 6 sqrt
74 <- 2576! + 12 sqrt
2576 <- 720! + 9 sqrt
720 <- 6! + 0 sqrt
6 <- 3! + 0 sqrt

75592 <- 930091359533! + 41 sqrt
930091359533 <- 87046! + 15 sqrt
87046 <- 1225778737! + 31 sqrt
1225778737 <- 15982410876! + 34 sqrt
15982410876 <- 6695934! + 22 sqrt
6695934 <- 45864647673! + 36 sqrt
45864647673 <- 78336! + 15 sqrt
78336 <- 3368810! + 22 sqrt
3368810 <- 31034262! + 25 sqrt
31034262 <- 2625208! + 21 sqrt
2625208 <- 2273088! + 21 sqrt
2273088 <- 3018249724! + 32 sqrt
3018249724 <- 132522! + 16 sqrt
132522 <- 565! + 8 sqrt
565 <- 336! + 8 sqrt
336 <- 6636426! + 24 sqrt
6636426 <- 720! + 8 sqrt
720 <- 6! + 0 sqrt
6 <- 3! + 0 sqrt

185296 <- 48737470! + 26 sqrt
48737470 <- 51407950099! + 36 sqrt
51407950099 <- 25757669! + 24 sqrt
25757669 <- 67266801! + 26 sqrt
67266801 <- 111233! + 16 sqrt
111233 <- 90062724! + 27 sqrt
90062724 <- 112878! + 16 sqrt
112878 <- 4698336811! + 33 sqrt
4698336811 <- 134979! + 16 sqrt
134979 <- 340146312! + 29 sqrt
340146312 <- 34105! + 14 sqrt
34105 <- 8214240850! + 34 sqrt
8214240850 <- 2380932010! + 31 sqrt
2380932010 <- 22726155! + 24 sqrt
22726155 <- 375191! + 18 sqrt
375191 <- 1375285214! + 31 sqrt
1375285214 <- 288! + 6 sqrt
288 <- 1787! + 11 sqrt
1787 <- 177098! + 18 sqrt
177098 <- 93467273! + 27 sqrt
93467273 <- 113087! + 16 sqrt
113087 <- 6636426! + 23 sqrt
6636426 <- 720! + 8 sqrt
720 <- 6! + 0 sqrt
6 <- 3! + 0 sqrt


real    122m54.017s
user    122m17.512s
sys     0m34.457s
