2: 30537/45847, t_p = 0.664448707, a_p = 0.666063210
3: 15310/45847, t_p = 0.335551293, a_p = 0.333936790
4: 9736/45847, t_p = 0.215323296, a_p = 0.212358497
5: 7010/45847, t_p = 0.154820056, a_p = 0.152899863
6: 5573/45847, t_p = 0.119068117, a_p = 0.121556481
7: 4468/45847, t_p = 0.0957510315, a_p = 0.0974545772
8: 3749/45847, t_p = 0.0794862063, a_p = 0.0817719807
9: 3181/45847, t_p = 0.0675721387, a_p = 0.0693829476
10: 2702/45847, t_p = 0.0585141779, a_p = 0.0589351539
11: 2317/45847, t_p = 0.0514230044, a_p = 0.0505376579
12: 2063/45847, t_p = 0.0457386862, a_p = 0.0449974917
13: 1809/45847, t_p = 0.0410923499, a_p = 0.0394573254
14: 1667/45847, t_p = 0.0372317918, a_p = 0.0363600672
15: 1571/45847, t_p = 0.0339791437, a_p = 0.0342661461
16: 1356/45847, t_p = 0.0312056151, a_p = 0.0295766353
17: 1356/45847, t_p = 0.0288158208, a_p = 0.0295766353
18: 1188/45847, t_p = 0.0267377121, a_p = 0.0259122734
19: 1098/45847, t_p = 0.0249159220, a_p = 0.0239492224
20: 1049/45847, t_p = 0.0233072481, a_p = 0.0228804502
21: 1038/45847, t_p = 0.0218775234, a_p = 0.0226405217
22: 909/45847, t_p = 0.0205993900, a_p = 0.0198268153
23: 902/45847, t_p = 0.0194507031, a_p = 0.0196741335
24: 840/45847, t_p = 0.0184133608, a_p = 0.0183218095
25: 786/45847, t_p = 0.0174724296, a_p = 0.0171439789
26: 748/45847, t_p = 0.0166154831, a_p = 0.0163151351
27: 701/45847, t_p = 0.0158321122, a_p = 0.0152899863
28: 683/45847, t_p = 0.0151135257, a_p = 0.0148973761
29: 661/45847, t_p = 0.0144522598, a_p = 0.0144175191
30: 651/45847, t_p = 0.0138419309, a_p = 0.0141994024
31: 611/45847, t_p = 0.0132770586, a_p = 0.0133269352
32: 556/45847, t_p = 0.0127529032, a_p = 0.0121272930
33: 567/45847, t_p = 0.0122653539, a_p = 0.0123672214
34: 537/45847, t_p = 0.0118108246, a_p = 0.0117128711
35: 509/45847, t_p = 0.0113861752, a_p = 0.0111021441
36: 512/45847, t_p = 0.0109886447, a_p = 0.0111675791
