n,count,total,t_d,e_d
333,31,45847,0.000744610979,0.000676162017
334,35,45847,0.000742003024,0.000763408729
335,25,45847,0.000739411863,0.000545291949
336,39,45847,0.000736836826,0.000850655441
337,33,45847,0.000734279928,0.000719785373
338,42,45847,0.000731737809,0.000916090475
339,38,45847,0.000729213830,0.000828843763
340,30,45847,0.000726705301,0.000654350339
341,29,45847,0.000724212897,0.000632538661
342,27,45847,0.000721737287,0.000588915305
343,30,45847,0.000719275785,0.000654350339
344,33,45847,0.000716831750,0.000719785373
345,35,45847,0.000714402496,0.000763408729
346,39,45847,0.000711988692,0.000850655441
347,26,45847,0.000709590340,0.000567103627
348,29,45847,0.000707206096,0.000632538661
349,29,45847,0.000704837976,0.000632538661
350,34,45847,0.000702484635,0.000741597051
351,37,45847,0.000700145403,0.000807032085
352,30,45847,0.000697820949,0.000654350339
353,30,45847,0.000695511276,0.000654350339
354,34,45847,0.000693215039,0.000741597051
355,30,45847,0.000690933582,0.000654350339
356,28,45847,0.000688666904,0.000610726983
357,26,45847,0.000686412319,0.000567103627
358,36,45847,0.000684173186,0.000785220407
359,32,45847,0.000681946816,0.000697973695
360,27,45847,0.000679734555,0.000588915305
361,33,45847,0.000677535730,0.000719785373
362,30,45847,0.000675348998,0.000654350339
363,32,45847,0.000673177045,0.000697973695
364,32,45847,0.000671017856,0.000697973695
365,32,45847,0.000668870761,0.000697973695
366,35,45847,0.000666737101,0.000763408729
367,30,45847,0.000664616205,0.000654350339
368,35,45847,0.000662508074,0.000763408729
369,24,45847,0.000660412036,0.000523480271
370,36,45847,0.000658328090,0.000785220407
371,28,45847,0.000656257580,0.000610726983
372,35,45847,0.000654198491,0.000763408729
373,32,45847,0.000652151494,0.000697973695
374,21,45847,0.000650116590,0.000458045237
375,20,45847,0.000648093778,0.000436233559
376,31,45847,0.000646082387,0.000676162017
377,33,45847,0.000644083089,0.000719785373
378,22,45847,0.000642094540,0.000479856915
379,23,45847,0.000640118755,0.000501668593
380,33,45847,0.000638153718,0.000719785373
381,31,45847,0.000636199431,0.000676162017
382,28,45847,0.000634257237,0.000610726983
383,27,45847,0.000632325119,0.000588915305
384,27,45847,0.000630405094,0.000588915305
385,29,45847,0.000628495818,0.000632538661
386,25,45847,0.000626596619,0.000545291949
387,25,45847,0.000624708840,0.000545291949
388,30,45847,0.000622831139,0.000654350339
389,23,45847,0.000620964859,0.000501668593
390,29,45847,0.000619107984,0.000632538661
391,32,45847,0.000617262529,0.000697973695
392,30,45847,0.000615426480,0.000654350339
393,18,45847,0.000613601851,0.000392610203
394,27,45847,0.000611785957,0.000588915305
395,26,45847,0.000609980811,0.000567103627
396,27,45847,0.000608185742,0.000588915305
397,24,45847,0.000606400750,0.000523480271
398,22,45847,0.000604624491,0.000479856915
399,21,45847,0.000602858982,0.000458045237
400,22,45847,0.000601102878,0.000479856915
401,20,45847,0.000599356179,0.000436233559
402,35,45847,0.000597618886,0.000763408729
403,26,45847,0.000595891669,0.000567103627
404,34,45847,0.000594173186,0.000741597051
405,29,45847,0.000592464781,0.000632538661
406,23,45847,0.000590764437,0.000501668593
407,22,45847,0.000589073498,0.000479856915
408,23,45847,0.000587392636,0.000501668593
409,33,45847,0.000585719836,0.000719785373
410,28,45847,0.000584055769,0.000610726983
411,23,45847,0.000582401108,0.000501668593
412,27,45847,0.000580755181,0.000588915305
413,26,45847,0.000579117986,0.000567103627
414,25,45847,0.000577488854,0.000545291949
415,24,45847,0.000575869127,0.000523480271
416,26,45847,0.000574257461,0.000567103627
417,32,45847,0.000572654529,0.000697973695
418,19,45847,0.000571059659,0.000414421881
419,33,45847,0.000569473522,0.000719785373
420,22,45847,0.000567894103,0.000479856915
421,35,45847,0.000566325433,0.000763408729
422,22,45847,0.000564762810,0.000479856915
423,34,45847,0.000563209591,0.000741597051
424,22,45847,0.000561663763,0.000479856915
425,27,45847,0.000560125324,0.000588915305
426,23,45847,0.000558596291,0.000501668593
427,24,45847,0.000557073304,0.000523480271
428,28,45847,0.000555559722,0.000610726983
429,24,45847,0.000554052859,0.000523480271
430,26,45847,0.000552554057,0.000567103627
431,22,45847,0.000551061973,0.000479856915
432,28,45847,0.000549578622,0.000610726983
433,21,45847,0.000548102662,0.000458045237
434,22,45847,0.000546632748,0.000479856915
435,20,45847,0.000545172239,0.000436233559
436,21,45847,0.000543717776,0.000458045237
437,27,45847,0.000542270703,0.000588915305
438,31,45847,0.000540831692,0.000676162017
439,20,45847,0.000539398728,0.000436233559
440,20,45847,0.000537972481,0.000436233559
441,30,45847,0.000536554968,0.000654350339
442,23,45847,0.000535143500,0.000501668593
443,19,45847,0.000533738752,0.000414421881
444,27,45847,0.000532342064,0.000588915305
445,23,45847,0.000530950752,0.000501668593
446,26,45847,0.000529566829,0.000567103627
447,26,45847,0.000528190296,0.000567103627
448,25,45847,0.000526819809,0.000545291949
449,25,45847,0.000525456040,0.000545291949
450,21,45847,0.000524098990,0.000458045237
451,27,45847,0.000522748657,0.000588915305
452,30,45847,0.000521404371,0.000654350339
453,24,45847,0.000520066803,0.000523480271
454,28,45847,0.000518735952,0.000610726983
455,20,45847,0.000517411149,0.000436233559
456,23,45847,0.000516093735,0.000501668593
457,23,45847,0.000514781023,0.000501668593
458,29,45847,0.000513475030,0.000632538661
459,28,45847,0.000512175083,0.000610726983
460,27,45847,0.000510882526,0.000588915305
461,22,45847,0.000509595343,0.000479856915
462,24,45847,0.000508313535,0.000523480271
463,22,45847,0.000507038445,0.000479856915
464,17,45847,0.000505769401,0.000370798526
465,23,45847,0.000504506404,0.000501668593
466,28,45847,0.000503249452,0.000610726983
467,19,45847,0.000501997204,0.000414421881
468,22,45847,0.000500752345,0.000479856915
469,19,45847,0.000499512189,0.000414421881
470,19,45847,0.000498278751,0.000414421881
471,36,45847,0.000497050015,0.000785220407
472,20,45847,0.000495827326,0.000436233559
473,20,45847,0.000494610683,0.000436233559
474,26,45847,0.000493399415,0.000567103627
475,24,45847,0.000492192849,0.000523480271
476,25,45847,0.000490993001,0.000545291949
477,28,45847,0.000489798528,0.000610726983
478,28,45847,0.000488608757,0.000610726983
479,26,45847,0.000487425033,0.000567103627
480,23,45847,0.000486246683,0.000501668593
481,20,45847,0.000485073708,0.000436233559
482,22,45847,0.000483905435,0.000479856915
483,21,45847,0.000482742537,0.000458045237
484,23,45847,0.000481585685,0.000501668593
485,15,45847,0.000480433535,0.000327175170
486,24,45847,0.000479286088,0.000523480271
487,23,45847,0.000478145360,0.000501668593
488,20,45847,0.000477007318,0.000436233559
489,18,45847,0.000475876667,0.000392610203
490,19,45847,0.000474749374,0.000414421881
491,29,45847,0.000473628128,0.000632538661
492,17,45847,0.000472510912,0.000370798526
493,20,45847,0.000471399743,0.000436233559
494,27,45847,0.000470293277,0.000588915305
495,25,45847,0.000469190169,0.000545291949
496,26,45847,0.000468094452,0.000567103627
497,23,45847,0.000467000750,0.000501668593
498,14,45847,0.000465914437,0.000305363492
499,27,45847,0.000464831484,0.000588915305
500,18,45847,0.000463753233,0.000392610203
