n,count,total,t_d,e_d
2,30537,45847,0.664448707,0.666063210
3,15310,45847,0.335551293,0.333936790
4,9736,45847,0.215323296,0.212358497
5,7010,45847,0.154820056,0.152899863
6,5573,45847,0.119068117,0.121556481
7,4468,45847,0.0957510315,0.0974545772
8,3749,45847,0.0794862063,0.0817719807
9,3181,45847,0.0675721387,0.0693829476
10,2702,45847,0.0585141779,0.0589351539
11,2317,45847,0.0514230044,0.0505376579
12,2063,45847,0.0457386862,0.0449974917
13,1809,45847,0.0410923499,0.0394573254
14,1667,45847,0.0372317918,0.0363600672
15,1571,45847,0.0339791437,0.0342661461
16,1356,45847,0.0312056151,0.0295766353
17,1356,45847,0.0288158208,0.0295766353
18,1188,45847,0.0267377121,0.0259122734
19,1098,45847,0.0249159220,0.0239492224
20,1049,45847,0.0233072481,0.0228804502
21,1038,45847,0.0218775234,0.0226405217
22,909,45847,0.0205993900,0.0198268153
23,902,45847,0.0194507031,0.0196741335
24,840,45847,0.0184133608,0.0183218095
25,786,45847,0.0174724296,0.0171439789
26,748,45847,0.0166154831,0.0163151351
27,701,45847,0.0158321122,0.0152899863
28,683,45847,0.0151135257,0.0148973761
29,661,45847,0.0144522598,0.0144175191
30,651,45847,0.0138419309,0.0141994024
31,611,45847,0.0132770586,0.0133269352
32,556,45847,0.0127529032,0.0121272930
33,567,45847,0.0122653539,0.0123672214
34,537,45847,0.0118108246,0.0117128711
35,509,45847,0.0113861752,0.0111021441
36,512,45847,0.0109886447,0.0111675791
37,464,45847,0.0106157964,0.0101206186
38,461,45847,0.0102654718,0.0100551835
39,473,45847,0.00993575349,0.0103169237
40,472,45847,0.00962493046,0.0102951120
41,452,45847,0.00933147565,0.00985887844
42,413,45847,0.00905401590,0.00900822300
43,408,45847,0.00879131980,0.00889916461
44,394,45847,0.00854227481,0.00859380112
45,397,45847,0.00830587727,0.00865923615
46,381,45847,0.00808121552,0.00831024931
47,361,45847,0.00786746662,0.00787401575
48,384,45847,0.00766387476,0.00837568434
49,322,45847,0.00746975808,0.00702336031
50,322,45847,0.00728448910,0.00702336031
51,344,45847,0.00710749275,0.00750321722
52,315,45847,0.00693824839,0.00687067856
53,339,45847,0.00677626894,0.00739415883
54,312,45847,0.00662111238,0.00680524353
55,289,45847,0.00647236955,0.00630357493
56,300,45847,0.00632966225,0.00654350339
57,290,45847,0.00619264179,0.00632538661
58,292,45847,0.00606098571,0.00636900997
59,286,45847,0.00593439304,0.00623813990
60,291,45847,0.00581258767,0.00634719829
61,263,45847,0.00569530894,0.00573647131
62,239,45847,0.00558231970,0.00521299103
63,264,45847,0.00547339355,0.00575828298
64,240,45847,0.00536832155,0.00523480271
65,259,45847,0.00526691024,0.00564922459
66,232,45847,0.00516897754,0.00506030929
67,246,45847,0.00507435080,0.00536567278
68,239,45847,0.00498287148,0.00521299103
69,240,45847,0.00489438910,0.00523480271
70,217,45847,0.00480876525,0.00473313412
71,220,45847,0.00472586625,0.00479856915
72,243,45847,0.00464556580,0.00530023775
73,217,45847,0.00456775105,0.00473313412
74,208,45847,0.00449230844,0.00453682902
75,181,45847,0.00441913721,0.00394791371
76,188,45847,0.00434813726,0.00410059546
77,210,45847,0.00427921656,0.00458045237
78,202,45847,0.00421228776,0.00440595895
79,194,45847,0.00414726892,0.00423146553
80,213,45847,0.00408408074,0.00464588741
81,180,45847,0.00402265136,0.00392610204
82,180,45847,0.00396290687,0.00392610204
83,176,45847,0.00390478480,0.00383885532
84,166,45847,0.00384821863,0.00362073854
85,180,45847,0.00379315059,0.00392610204
86,178,45847,0.00373952358,0.00388247868
87,175,45847,0.00368728116,0.00381704365
88,176,45847,0.00363637497,0.00383885532
89,173,45847,0.00358675529,0.00377342029
90,172,45847,0.00353837173,0.00375160861
91,154,45847,0.00349118533,0.00335899841
92,176,45847,0.00344515042,0.00383885532
93,159,45847,0.00340022599,0.00346805680
94,170,45847,0.00335637579,0.00370798526
95,157,45847,0.00331356152,0.00342443344
96,161,45847,0.00327174756,0.00351168015
97,157,45847,0.00323090101,0.00342443344
98,155,45847,0.00319099029,0.00338081009
99,136,45847,0.00315198180,0.00296638820
100,158,45847,0.00311384935,0.00344624512
101,134,45847,0.00307656271,0.00292276485
102,146,45847,0.00304009634,0.00318450498
103,148,45847,0.00300442203,0.00322812834
104,140,45847,0.00296951694,0.00305363492
105,143,45847,0.00293535555,0.00311906995
106,142,45847,0.00290191701,0.00309725827
107,142,45847,0.00286917716,0.00309725827
108,132,45847,0.00283711650,0.00287914149
109,138,45847,0.00280571422,0.00301001156
110,133,45847,0.00277495015,0.00290095317
111,120,45847,0.00274480750,0.00261740136
112,125,45847,0.00271526545,0.00272645975
113,107,45847,0.00268630787,0.00233384954
114,105,45847,0.00265791931,0.00229022619
115,117,45847,0.00263008231,0.00255196632
116,101,45847,0.00260278141,0.00220297948
117,131,45847,0.00257600250,0.00285732981
118,108,45847,0.00254973013,0.00235566122
119,104,45847,0.00252395155,0.00226841451
120,128,45847,0.00249865196,0.00279189478
121,109,45847,0.00247382062,0.00237747290
122,115,45847,0.00244944208,0.00250834297
123,115,45847,0.00242550693,0.00250834297
124,113,45847,0.00240200308,0.00246471961
125,97,45847,0.00237891844,0.00211573276
126,100,45847,0.00235624226,0.00218116780
127,105,45847,0.00233396513,0.00229022619
128,94,45847,0.00231207564,0.00205029773
129,108,45847,0.00229056504,0.00235566122
130,103,45847,0.00226942327,0.00224660283
131,98,45847,0.00224864091,0.00213754444
132,106,45847,0.00222821058,0.00231203787
133,107,45847,0.00220812153,0.00233384954
134,95,45847,0.00218836771,0.00207210941
135,93,45847,0.00216893972,0.00202848605
136,111,45847,0.00214982882,0.00242109625
137,84,45847,0.00213103031,0.00183218095
138,88,45847,0.00211253411,0.00191942766
139,89,45847,0.00209433418,0.00194123934
140,97,45847,0.00207642447,0.00211573276
141,95,45847,0.00205879760,0.00207210941
142,105,45847,0.00204144616,0.00229022619
143,90,45847,0.00202436613,0.00196305102
144,86,45847,0.00200754878,0.00187580431
145,93,45847,0.00199099008,0.00202848605
146,78,45847,0.00197468397,0.00170131088
147,78,45847,0.00195862442,0.00170131088
148,97,45847,0.00194280672,0.00211573276
149,86,45847,0.00192722348,0.00187580431
150,95,45847,0.00191187335,0.00207210941
151,88,45847,0.00189674761,0.00191942766
152,94,45847,0.00188184491,0.00205029773
153,76,45847,0.00186715652,0.00165768753
154,81,45847,0.00185268176,0.00176674592
155,89,45847,0.00183841392,0.00194123934
156,71,45847,0.00182434964,0.00154862914
157,75,45847,0.00181048421,0.00163587585
158,87,45847,0.00179681360,0.00189761598
159,77,45847,0.00178333446,0.00167949920
160,73,45847,0.00177004208,0.00159225249
161,83,45847,0.00175693244,0.00181036927
162,85,45847,0.00174400351,0.00185399263
163,71,45847,0.00173125059,0.00154862914
164,82,45847,0.00171866966,0.00178855759
165,90,45847,0.00170625869,0.00196305102
166,73,45847,0.00169401366,0.00159225249
167,87,45847,0.00168193053,0.00189761598
168,68,45847,0.00167000797,0.00148319410
169,76,45847,0.00165824060,0.00165768753
170,74,45847,0.00164662841,0.00161406417
171,63,45847,0.00163516603,0.00137413571
172,68,45847,0.00162385146,0.00148319410
173,85,45847,0.00161268266,0.00185399263
174,72,45847,0.00160165427,0.00157044081
175,75,45847,0.00159076831,0.00163587585
176,62,45847,0.00158001805,0.00135232403
177,72,45847,0.00156940148,0.00157044081
178,70,45847,0.00155891927,0.00152681746
179,67,45847,0.00154856538,0.00146138242
180,57,45847,0.00153833913,0.00124326564
181,67,45847,0.00152823851,0.00146138242
182,67,45847,0.00151826150,0.00146138242
183,61,45847,0.00150840340,0.00133051236
184,66,45847,0.00149866555,0.00143957075
185,70,45847,0.00148904393,0.00152681746
186,60,45847,0.00147953584,0.00130870068
187,60,45847,0.00147014196,0.00130870068
188,64,45847,0.00146085759,0.00139594739
189,70,45847,0.00145168339,0.00152681746
190,62,45847,0.00144261466,0.00135232403
191,63,45847,0.00143365141,0.00137413571
192,66,45847,0.00142479161,0.00143957075
193,61,45847,0.00141603394,0.00133051236
194,75,45847,0.00140737568,0.00163587585
195,56,45847,0.00139881552,0.00122145397
196,50,45847,0.00139035209,0.00109058390
197,62,45847,0.00138198406,0.00135232403
198,70,45847,0.00137370941,0.00152681746
199,63,45847,0.00136552612,0.00137413571
200,56,45847,0.00135743421,0.00122145397
201,51,45847,0.00134943097,0.00111239558
202,62,45847,0.00134151506,0.00135232403
203,69,45847,0.00133368582,0.00150500578
204,67,45847,0.00132594190,0.00146138242
205,60,45847,0.00131828061,0.00130870068
206,58,45847,0.00131070128,0.00126507732
207,55,45847,0.00130320458,0.00119964229
208,53,45847,0.00129578582,0.00115601893
209,69,45847,0.00128844632,0.00150500578
210,54,45847,0.00128118409,0.00117783061
211,51,45847,0.00127399709,0.00111239558
212,60,45847,0.00126688668,0.00130870068
213,57,45847,0.00125984816,0.00124326564
214,65,45847,0.00125288353,0.00141775907
215,57,45847,0.00124599012,0.00124326564
216,50,45847,0.00123916792,0.00109058390
217,64,45847,0.00123241357,0.00139594739
218,60,45847,0.00122572841,0.00130870068
219,56,45847,0.00121911111,0.00122145397
220,39,45847,0.00121256032,0.000850655441
221,48,45847,0.00120607402,0.00104696054
222,56,45847,0.00119965289,0.00122145397
223,56,45847,0.00119329558,0.00122145397
224,49,45847,0.00118700007,0.00106877222
225,39,45847,0.00118076772,0.000850655441
226,46,45847,0.00117459448,0.00100333719
227,56,45847,0.00116848238,0.00122145397
228,59,45847,0.00116242939,0.00128688900
229,49,45847,0.00115643419,0.00106877222
230,51,45847,0.00115049743,0.00111239558
231,49,45847,0.00114461642,0.00106877222
232,53,45847,0.00113879253,0.00115601893
233,57,45847,0.00113302170,0.00124326564
234,53,45847,0.00112730798,0.00115601893
235,54,45847,0.00112164599,0.00117783061
236,57,45847,0.00111603707,0.00124326564
237,62,45847,0.00111048123,0.00135232403
238,37,45847,0.00110497644,0.000807032085
239,48,45847,0.00109952136,0.00104696054
240,63,45847,0.00109411869,0.00137413571
241,49,45847,0.00108876304,0.00106877222
242,53,45847,0.00108345778,0.00115601893
243,53,45847,0.00107820089,0.00115601893
244,52,45847,0.00107298968,0.00113420725
245,45,45847,0.00106782751,0.000981525509
246,50,45847,0.00106270969,0.00109058390
247,52,45847,0.00105763821,0.00113420725
248,46,45847,0.00105261242,0.00100333719
249,54,45847,0.00104763165,0.00117783061
250,49,45847,0.00104269252,0.00106877222
251,43,45847,0.00103779840,0.000937902153
252,51,45847,0.00103294661,0.00111239558
253,46,45847,0.00102813782,0.00100333719
254,45,45847,0.00102336933,0.000981525509
255,50,45847,0.00101864316,0.00109058390
256,42,45847,0.00101395731,0.000916090475
257,50,45847,0.00100931176,0.00109058390
258,46,45847,0.00100470518,0.00100333719
259,52,45847,0.00100013891,0.00113420725
260,44,45847,0.000995610253,0.000959713831
261,40,45847,0.000991120565,0.000872467119
262,39,45847,0.000986667827,0.000850655441
263,48,45847,0.000982253382,0.00104696054
264,38,45847,0.000977875214,0.000828843763
265,44,45847,0.000973533324,0.000959713831
266,44,45847,0.000969227711,0.000959713831
267,40,45847,0.000964957033,0.000872467119
268,44,45847,0.000960721960,0.000959713831
269,37,45847,0.000956521149,0.000807032085
270,53,45847,0.000952354601,0.00115601893
271,44,45847,0.000948222315,0.000959713831
272,36,45847,0.000944123619,0.000785220407
273,36,45847,0.000940056498,0.000785220407
274,38,45847,0.000936023639,0.000828843763
275,44,45847,0.000932023027,0.000959713831
276,36,45847,0.000928053318,0.000785220407
277,35,45847,0.000924115184,0.000763408729
278,36,45847,0.000920208625,0.000785220407
279,40,45847,0.000916332969,0.000872467119
280,33,45847,0.000912488216,0.000719785373
281,42,45847,0.000908673023,0.000916090475
282,36,45847,0.000904886718,0.000785220407
283,43,45847,0.000901130643,0.000937902153
284,48,45847,0.000897404129,0.00104696054
285,31,45847,0.000893706502,0.000676162017
286,34,45847,0.000890035747,0.000741597051
287,41,45847,0.000886394552,0.000894278797
288,42,45847,0.000882780229,0.000916090475
289,46,45847,0.000879194122,0.00100333719
290,57,45847,0.000875635559,0.00124326564
291,40,45847,0.000872102525,0.000872467119
292,43,45847,0.000868596363,0.000937902153
293,43,45847,0.000865117745,0.000937902153
294,44,45847,0.000861663984,0.000959713831
295,41,45847,0.000858236423,0.000894278797
296,33,45847,0.000854834392,0.000719785373
297,39,45847,0.000851457217,0.000850655441
298,36,45847,0.000848104899,0.000785220407
299,34,45847,0.000844777437,0.000741597051
300,38,45847,0.000841474161,0.000828843763
301,37,45847,0.000838195070,0.000807032085
302,43,45847,0.000834940164,0.000937902153
303,26,45847,0.000831708771,0.000567103627
304,49,45847,0.000828499548,0.00106877222
305,38,45847,0.000825315854,0.000828843763
306,40,45847,0.000822152314,0.000872467119
307,37,45847,0.000819012958,0.000807032085
308,37,45847,0.000815896444,0.000807032085
309,40,45847,0.000812800757,0.000872467119
310,35,45847,0.000809727239,0.000763408729
311,47,45847,0.000806676562,0.00102514886
312,35,45847,0.000803646040,0.000763408729
313,44,45847,0.000800637687,0.000959713831
314,35,45847,0.000797649488,0.000763408729
315,32,45847,0.000794682116,0.000697973695
316,40,45847,0.000791736913,0.000872467119
317,30,45847,0.000788810521,0.000654350339
318,36,45847,0.000785904954,0.000785220407
319,38,45847,0.000783019542,0.000828843763
320,33,45847,0.000780152941,0.000719785373
321,41,45847,0.000777307837,0.000894278797
322,35,45847,0.000774480201,0.000763408729
323,34,45847,0.000771672046,0.000741597051
324,40,45847,0.000768884046,0.000872467119
325,43,45847,0.000766114185,0.000937902153
326,27,45847,0.000763362463,0.000588915305
327,24,45847,0.000760630223,0.000523480271
328,36,45847,0.000757916122,0.000785220407
329,27,45847,0.000755218816,0.000588915305
330,33,45847,0.000752540992,0.000719785373
331,34,45847,0.000749879963,0.000741597051
332,30,45847,0.000747237746,0.000654350339
