TacoLoversPass,Taco Lover's Pass,550518,Taco Lover's Crunchy Taco,170,0.0
TacoLoversPass,Taco Lover's Pass,550519,Taco Lover's Crunchy Taco Supreme®,190,0.0
TacoLoversPass,Taco Lover's Pass,550520,Taco Lover's Soft Taco,180,0.0
TacoLoversPass,Taco Lover's Pass,550521,Taco Lover's Soft Taco Supreme®,210,0.0
TacoLoversPass,Taco Lover's Pass,550522,Taco Lover's Nacho Cheese Doritos® Locos Tacos,170,0.0
TacoLoversPass,Taco Lover's Pass,550523,Taco Lover's Nacho Cheese Doritos® Locos Tacos Supreme®,190,0.0
TacoLoversPass,Taco Lover's Pass,550524,Taco Lover's Spicy Potato Soft Taco,240,0.0
new,New,28165,Loaded TRUFF Nacho Fries,500,4.49
new,New,28095,Nacho Fries,330,1.49
new,New,28134,Nacho Fries Box,990-1270,5.49
new,New,28174,Nacho Fries Deluxe Box,1330-1610,7.99
new,New,23194,Double Steak Grilled Cheese Burrito,920,6.79
new,New,23195,Spicy Double Steak Grilled Cheese Burrito,930,6.79
new,New,1648Main,Cherry Bliss Freeze,180-220,3.19
new,New,22963,Grilled Cheese Burrito,720,4.29
new,New,22966,Grilled Cheese Burrito Deluxe Box,1460-1740,7.49
online-exclusives,Online Exclusives,23155,My Cravings Box,680-1690,5.0
online-exclusives,Online Exclusives,22371,Quesarito,650,4.39
online-exclusives,Online Exclusives,26052,Black Bean Quesarito,630,4.39
online-exclusives,Online Exclusives,23153,Black Bean Chalupa Supreme®,340,3.89
deals-and-combos,Combos,23155,My Cravings Box,680-1690,5.0
deals-and-combos,Combos,28134,Nacho Fries Box,990-1270,5.49
deals-and-combos,Combos,28174,Nacho Fries Deluxe Box,1330-1610,7.99
deals-and-combos,Combos,22604,Mexican Pizza Combo,920-1340,8.99
deals-and-combos,Combos,22607,Chicken Quesadilla Combo,680-1100,7.99
deals-and-combos,Combos,22605,Nachos BellGrande® Combo,930-1350,8.29
deals-and-combos,Combos,23760,2 Chicken Chalupas Supreme Combo,840-1260,9.89
deals-and-combos,Combos,22609,Crunchwrap Supreme® Combo,710-1130,7.99
deals-and-combos,Combos,22608,3 Crunchy Tacos Combo,500-920,6.59
deals-and-combos,Combos,22603,3 Crunchy Tacos Supreme® Combo,580-1000,7.79
deals-and-combos,Combos,22637,3 Doritos® Locos Tacos Combo,500-920,8.29
deals-and-combos,Combos,22701,3 Doritos® Locos Tacos Supreme Combo,570-990,8.69
deals-and-combos,Combos,23765,3 Soft Tacos Combo,550-970,6.59
deals-and-combos,Combos,23755,3 Soft Tacos Supreme® Combo,630-1050,7.79
deals-and-combos,Combos,22601,Burrito Supreme® Combo,590-1010,7.59
deals-and-combos,Combos,23876,Classic Combo,880-1300,5.0
deals-and-combos,Combos,23265,Classic Combo,830-1250,5.0
deals-and-combos,Combos,22966,Grilled Cheese Burrito Deluxe Box,1460-1740,7.49
tacos,Tacos,22110,Soft Taco,180,1.69
tacos,Tacos,22111,Soft Taco Supreme®,210,2.49
tacos,Tacos,22100,Crunchy Taco,170,1.69
tacos,Tacos,22101,Crunchy Taco Supreme®,190,2.49
tacos,Tacos,22172,Nacho Cheese Doritos® Locos Tacos,170,2.39
tacos,Tacos,22173,Nacho Cheese Doritos® Locos Tacos Supreme®,190,2.99
tacos,Tacos,22259,Spicy Potato Soft Taco,240,1.0
burritos,Burritos,23194,Double Steak Grilled Cheese Burrito,920,6.79
burritos,Burritos,23195,Spicy Double Steak Grilled Cheese Burrito,930,6.79
burritos,Burritos,22200,Bean Burrito,350,1.69
burritos,Burritos,22167,Beefy 5-Layer Burrito,490,3.19
burritos,Burritos,22371,Quesarito,650,4.39
burritos,Burritos,26052,Black Bean Quesarito,630,4.39
burritos,Burritos,22201,Burrito Supreme®,400,4.29
burritos,Burritos,22205,Chili Cheese Burrito,380,2.59
burritos,Burritos,23232,Chipotle Ranch Grilled Chicken Burrito,510,2.0
burritos,Burritos,23273,Beefy Melt Burrito,620,2.0
burritos,Burritos,22283,Cheesy Bean and Rice Burrito,420,1.0
burritos,Burritos,23264,Fiesta Veggie Burrito,570,2.0
burritos,Burritos,22963,Grilled Cheese Burrito,720,4.29
nachos,Nachos,22502,Nachos BellGrande®,730,4.89
nachos,Nachos,22500,Chips and Nacho Cheese Sauce,220,1.79
quesadillas,Quesadillas,22321,Chicken Quesadilla,520,4.59
quesadillas,Quesadillas,22322,Steak Quesadilla,520,5.19
quesadillas,Quesadillas,22320,Cheese Quesadilla,470,3.99
specialties,Specialties,28165,Loaded TRUFF Nacho Fries,500,4.49
specialties,Specialties,28095,Nacho Fries,330,1.49
specialties,Specialties,22303,Mexican Pizza,540,4.49
specialties,Specialties,23326,Veggie Mexican Pizza,470,4.49
specialties,Specialties,22850,Chalupa Supreme®,360,3.89
specialties,Specialties,23153,Black Bean Chalupa Supreme®,340,3.89
specialties,Specialties,22362,Crunchwrap Supreme®,540,4.69
specialties,Specialties,26051,Black Bean Crunchwrap Supreme®,520,4.69
specialties,Specialties,22813,Cheesy Gordita Crunch,500,4.59
specialties,Specialties,24067,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,4.79
specialties,Specialties,22152,Cheesy Roll Up,180,1.0
specialties,Specialties,28158,Chicken Chipotle Melt,190,1.59
sides-sweets,Sides & Sweets,28095,Nacho Fries,330,1.49
sides-sweets,Sides & Sweets,22530,Cheesy Fiesta Potatoes,240,1.99
sides-sweets,Sides & Sweets,22500,Chips and Nacho Cheese Sauce,220,1.79
sides-sweets,Sides & Sweets,22394,Black Beans,50,1.99
sides-sweets,Sides & Sweets,22393,Black Beans and Rice,160,1.89
sides-sweets,Sides & Sweets,22510,Pintos N Cheese,170,1.99
sides-sweets,Sides & Sweets,22525,Cinnamon Twists,170,1.0
sides-sweets,Sides & Sweets,30046,Cinnabon Delights® 2 Pack,160,1.89
sides-sweets,Sides & Sweets,30045,Cinnabon Delights® 12 Pack,930,6.19
sides-sweets,Sides & Sweets,22763,Mild Sauce Packet,0,0.0
sides-sweets,Sides & Sweets,22760,Hot Sauce Packet,0,0.0
sides-sweets,Sides & Sweets,22759,Fire Sauce Packet,0,0.0
sides-sweets,Sides & Sweets,22765,Diablo Sauce Packet,0,0.0
sides-sweets,Sides & Sweets,22746,Nacho Cheese Sauce,60,0.95
sides-sweets,Sides & Sweets,22754,Reduced-Fat Sour Cream,45,0.7
sides-sweets,Sides & Sweets,22731,Creamy Jalapeño Sauce,230,0.65
sides-sweets,Sides & Sweets,22740,Guacamole,80,1.0
