Sunsout,38.98,26.77
Gibsons,38.58,26.77
Buffalo,38.50,26.54
Clemontoni,38.39,26.30
Masterpieces,38.11,27.17
Paul Lamond,37.80,26.77
Heye,37.80,26.77
John N. Hansen,37.76,26.77
Ecuda,37.40,26.77
Great American,36.10,12.01
Falcon,35.43,26.77
