N,analytic_rank,found_generators,generators_on_connected_component
848,1,True,0
850,1,True,0
852,1,True,1
854,0,True,0
856,0,True,0
858,0,True,0
860,2,True,0
862,0,True,0
864,0,True,0
866,1,True,0
868,0,True,0
870,0,True,0
872,0,True,0
874,2,True,1
876,1,True,1
878,0,True,0
880,1,False,0
882,1,False,0
884,1,True,0
886,1,True,1
888,0,True,0
890,1,True,0
892,1,False,0
894,1,True,0
896,1,False,0
898,1,True,0
900,1,True,0
902,1,False,0
904,1,True,0
906,1,True,0
908,1,True,0
910,0,True,0
912,1,True,1
914,0,True,0
916,1,False,0
918,1,False,0
920,1,True,0
922,0,True,0
924,1,False,0
926,0,True,0
928,1,True,1
930,0,True,0
932,1,True,0
934,2,False,0
936,0,True,0
938,1,True,1
940,2,True,1
942,1,True,1
944,0,True,0
946,1,False,0
948,1,False,0
950,0,True,0
952,1,True,1
954,1,False,0
956,0,True,0
958,0,True,0
960,1,True,0
962,0,True,0
964,0,True,0
966,1,False,0
968,0,True,0
970,2,True,1
972,1,False,0
974,0,True,0
976,1,False,0
978,1,True,0
980,0,True,0
982,2,True,1
984,1,False,0
986,0,True,0
988,0,True,0
990,0,True,0
992,1,True,0
994,2,True,1
996,1,True,1
998,1,True,0
1000,1,False,0
1002,0,True,0
1004,1,True,0
1006,2,True,0
1008,1,False,0
1010,0,True,0
1012,0,True,0
1014,2,True,1
1016,1,True,0
1018,1,False,0
1020,2,True,1
1022,1,False,0
1024,1,True,1
1026,0,True,0
1028,0,True,0
1030,1,True,0
1032,0,True,0
1034,1,False,0
1036,0,True,0
1038,1,False,0
1040,1,True,0
1042,1,True,1
1044,0,True,0
1046,0,True,0
1048,2,True,0
1050,1,False,0
1052,1,True,0
1054,1,True,1
1056,1,False,0
1058,1,False,0
1060,1,True,1
1062,1,False,0
1064,0,True,0
1066,1,False,0
1068,1,True,1
1070,1,True,1
1072,0,True,0
1074,1,False,0
1076,0,True,0
1078,0,True,0
1080,0,True,0
1082,0,True,0
1084,1,True,1
1086,1,False,0
1088,1,False,0
1090,0,True,0
1092,1,False,0
1094,1,True,0
1096,1,True,0
1098,1,True,0
1100,1,True,0
1102,0,True,0
1104,2,True,1
1106,1,False,0
1108,0,True,0
1110,1,True,0
1112,1,False,0
1114,1,True,0
1116,1,False,0
1118,1,True,0
1120,2,True,1
1122,0,True,0
1124,0,True,0
1126,1,True,1
1128,0,True,0
1130,1,True,0
1132,0,True,0
1134,0,True,0
1136,2,True,1
1138,0,True,0
1140,1,True,0
1142,0,True,0
1144,1,True,1
1146,0,True,0
1148,1,False,0
1150,0,True,0
1152,0,True,0
1154,0,True,0
1156,1,True,1
1158,1,False,0
1160,2,True,0
1162,0,True,0
1164,1,False,0
1166,1,False,0
1168,1,True,1
1170,1,True,0
1172,0,True,0
1174,1,True,0
1176,1,False,0
1178,1,True,0
1180,0,True,0
1182,1,True,1
1184,1,True,0
1186,1,False,0
1188,0,True,0
1190,1,True,0
1192,0,True,0
1194,1,True,1
1196,0,True,0
1198,1,False,0
1200,0,True,0
1202,0,True,0
1204,1,False,0
1206,1,True,1
1208,0,True,0
1210,0,True,0
1212,0,True,0
1214,0,True,0
1216,1,False,0
1218,2,True,2
1220,1,True,0
1222,0,True,0
1224,1,False,0
1226,0,True,0
1228,1,False,0
1230,1,True,0
1232,1,False,0
1234,1,False,0
1236,0,True,0
1238,1,True,0
1240,0,True,0
1242,1,False,0
1244,1,False,0
1246,1,True,1
1248,2,True,1
1250,1,False,0
1252,0,True,0
1254,1,False,0
1256,1,False,0
1258,1,True,0
1260,0,True,0
1262,0,True,0
1264,1,True,1
1266,0,True,0
1268,1,True,0
1270,0,True,0
1272,1,True,1
1274,0,True,0
1276,1,False,0
1278,0,True,0
1280,1,True,0
1282,0,True,0
1284,0,True,0
1286,1,False,0
1288,1,False,0
1290,1,False,0
1292,1,False,0
1294,1,False,0
1296,0,True,0
1298,0,True,0
1300,1,True,0
1302,1,False,0
1304,0,True,0
1306,1,False,0
1308,1,True,1
1310,0,True,0
1312,1,False,0
1314,0,True,0
1316,1,False,0
1318,0,True,0
1320,1,True,1
1322,1,False,0
1324,0,True,0
1326,1,False,0
1328,1,False,0
1330,0,True,0
1332,1,False,0
1334,1,True,0
1336,3,True,1
1338,0,True,0
1340,0,True,0
1342,1,False,0
1344,0,True,0
1346,0,True,0
1348,1,True,1
1350,0,True,0
1352,1,True,0
1354,1,False,0
1356,2,True,0
1358,0,True,0
1360,1,True,1
1362,1,True,1
1364,0,True,0
1366,1,True,0
1368,1,True,0
1370,1,True,0
1372,0,True,0
1374,0,True,0
1376,1,False,0
1378,0,True,0
1380,1,False,0
1382,1,True,0
1384,1,True,0
1386,0,True,0
1388,0,True,0
1390,1,False,0
1392,1,True,1
1394,1,True,0
1396,1,False,0
1398,0,True,0
1400,1,True,0
1402,0,True,0
1404,1,True,0
1406,1,False,0
1408,1,True,0
1410,2,True,1
1412,2,True,0
1414,0,True,0
1416,1,False,0
1418,1,True,1
1420,2,True,1
1422,1,True,0
1424,1,True,0
1426,1,True,0
1428,1,False,0
1430,1,False,0
1432,0,True,0
1434,1,True,0
1436,0,True,0
1438,0,True,0
1440,0,True,0
1442,1,True,1
1444,1,False,0
1446,0,True,0
1448,1,False,0
1450,1,True,0
1452,0,True,0
1454,1,True,0
1456,1,False,0
1458,0,True,0
1460,1,True,1
1462,0,True,0
1464,0,True,0
1466,1,False,0
1468,1,False,0
1470,0,True,0
1472,1,True,0
1474,0,True,0
1476,0,True,0
1478,1,True,0
1480,0,True,0
1482,0,True,0
1484,1,False,0
1486,2,True,1
1488,1,False,0
1490,0,True,0
1492,1,True,1
1494,1,False,0
1496,1,True,0
1498,1,True,0
1500,1,True,0
1502,1,True,1
1504,0,True,0
1506,1,False,0
1508,0,True,0
1510,0,True,0
1512,0,True,0
1514,0,True,0
1516,1,True,0
1518,1,True,0
1520,0,True,0
1522,1,False,0
1524,2,True,0
1526,1,False,0
1528,0,True,0
1530,1,True,1
1532,0,True,0
1534,0,True,0
1536,0,True,0
1538,1,True,0
1540,1,False,0
1542,1,True,0
1544,1,True,1
1546,0,True,0
1548,1,False,0
1550,0,True,0
1552,1,False,0
1554,0,True,0
1556,0,True,0
1558,1,True,1
1560,1,True,1
1562,0,True,0
1564,2,True,1
1566,0,True,0
1568,1,True,0
1570,1,True,1
1572,0,True,0
1574,1,True,0
1576,2,True,0
1578,1,False,0
1580,1,False,0
1582,1,False,0
1584,0,True,0
1586,1,True,1
1588,1,True,1
1590,1,True,0
1592,2,True,2
1594,2,True,0
1596,1,False,0
1598,0,True,0
1600,0,True,0
1602,1,False,0
1604,0,True,0
1606,1,False,0
1608,0,True,0
1610,1,True,0
1612,1,True,0
1614,1,True,1
1616,1,False,0
1618,1,False,0
1620,0,True,0
1622,0,True,0
1624,1,True,0
1626,1,True,1
1628,1,False,0
1630,1,False,0
1632,1,False,0
1634,1,False,0
1636,2,True,0
1638,0,True,0
1640,1,True,0
1642,0,True,0
1644,2,True,1
1646,0,True,0
1648,1,True,1
1650,0,True,0
1652,1,False,0
1654,0,True,0
1656,1,False,0
1658,1,False,0
1660,0,True,0
1662,0,True,0
1664,0,True,0
1666,0,True,0
1668,1,False,0
1670,1,True,0
1672,1,True,1
1674,2,True,1
1676,0,True,0
1678,1,False,0
1680,1,False,0
1682,1,False,0
1684,1,False,0
1686,0,True,0
1688,2,True,1
1690,1,False,0
1692,1,False,0
1694,0,True,0
1696,0,True,0
1698,0,True,0
1700,1,True,0
1702,1,False,0
1704,0,True,0
1706,0,True,0
1708,1,False,0
1710,1,True,0
1712,0,True,0
1714,0,True,0
1716,1,False,0
1718,1,False,0
1720,0,True,0
1722,0,True,0
1724,1,True,0
1726,1,True,1
1728,1,False,0
1730,0,True,0
1732,0,True,0
1734,2,True,0
1736,0,True,0
1738,0,True,0
1740,1,True,0
1742,0,True,0
1744,0,True,0
1746,1,True,1
1748,2,True,1
1750,1,True,1
1752,1,True,1
1754,0,True,0
1756,1,False,0
1758,0,True,0
1760,0,True,0
1762,1,False,0
1764,2,True,1
1766,3,True,2
1768,1,True,1
1770,0,True,0
1772,1,True,0
1774,0,True,0
1776,0,True,0
1778,1,False,0
1780,1,True,0
1782,0,True,0
1784,0,True,0
1786,1,True,0
1788,1,True,1
1790,1,True,0
1792,1,False,0
1794,0,True,0
1796,1,False,0
1798,0,True,0
1800,0,True,0
1802,0,True,0
1804,0,True,0
1806,0,True,0
1808,1,True,0
1810,1,True,1
1812,1,True,0
1814,1,False,0
1816,1,False,0
1818,1,True,0
1820,0,True,0
1822,1,True,1
1824,1,True,1
1826,1,False,0
1828,1,False,0
1830,0,True,0
1832,0,True,0
1834,1,False,0
1836,1,False,0
1838,1,False,0
1840,0,True,0
1842,0,True,0
1844,2,True,0
1846,1,True,0
1848,1,False,0
1850,1,True,0
1852,1,False,0
1854,2,True,0
1856,0,True,0
1858,0,True,0
1860,1,True,1
1862,0,True,0
1864,1,False,0
1866,0,True,0
1868,1,False,0
1870,0,True,0
1872,0,True,0
1874,0,True,0
1876,1,False,0
1878,1,True,1
1880,0,True,0
1882,1,False,0
1884,0,True,0
1886,0,True,0
1888,0,True,0
1890,0,True,0
1892,0,True,0
1894,1,True,1
1896,1,True,1
1898,1,True,0
1900,1,True,1
1902,0,True,0
1904,0,True,0
1906,0,True,0
1908,1,True,1
1910,0,True,0
1912,1,True,1
1914,1,False,0
1916,0,True,0
1918,1,False,0
1920,0,True,0
1922,0,True,0
1924,1,False,0
1926,1,True,0
1928,1,True,0
1930,2,True,0
1932,0,True,0
1934,0,True,0
1936,1,False,0
1938,1,False,0
1940,1,True,0
1942,0,True,0
1944,1,False,0
1946,0,True,0
1948,1,True,0
1950,0,True,0
1952,1,True,1
1954,0,True,0
1956,1,False,0
1958,1,False,0
1960,1,False,0
1962,0,True,0
1964,0,True,0
1966,1,False,0
1968,0,True,0
1970,0,True,0
1972,1,True,0
1974,1,False,0
1976,1,False,0
1978,0,True,0
1980,1,True,0
1982,0,True,0
1984,2,True,1
1986,0,True,0
1988,0,True,0
1990,1,True,1
1992,1,True,1
1994,1,True,0
1996,0,True,0
1998,0,True,0
2000,0,True,0
2002,1,False,0
2004,2,False,0
2006,1,True,0
2008,1,False,0
2010,1,True,0
2012,1,False,0
2014,1,True,0
2016,1,True,0
2018,0,True,0
2020,1,False,0
2022,1,False,0
2024,0,True,0
2026,1,False,0
2028,1,True,1
2030,0,True,0
2032,1,False,0
2034,1,False,0
2036,1,True,0
2038,0,True,0
2040,2,True,0
2042,0,True,0
2044,0,True,0
2046,1,False,0
2048,1,False,0
2050,1,False,0
2052,1,True,1
2054,1,True,0
2056,0,True,0
2058,2,True,1
2060,0,True,0
2062,0,True,0
2064,1,False,0
2066,1,False,0
2068,1,False,0
2070,1,False,0
2072,1,False,0
2074,1,True,1
2076,0,True,0
2078,1,True,1
2080,1,True,0
2082,2,True,1
2084,1,True,0
2086,2,False,0
2088,0,True,0
2090,1,True,1
2092,0,True,0
2094,1,False,0
2096,1,False,0
2098,1,False,0
2100,0,True,0
2102,0,True,0
2104,1,True,0
2106,1,True,1
2108,0,True,0
2110,0,True,0
2112,1,False,0
2114,0,True,0
2116,1,True,1
2118,1,False,0
2120,1,True,0
2122,1,False,0
2124,0,True,0
2126,0,True,0
2128,1,False,0
2130,0,True,0
2132,0,True,0
2134,0,True,0
2136,0,True,0
2138,0,True,0
2140,0,True,0
2142,1,True,1
2144,0,True,0
2146,0,True,0
2148,1,True,0
2150,2,True,0
2152,1,False,0
2154,0,True,0
2156,2,True,1
2158,1,False,0
2160,1,False,0
2162,1,True,0
2164,1,False,0
2166,2,True,1
2168,0,True,0
2170,0,True,0
2172,1,False,0
2174,1,False,0
2176,1,False,0
2178,0,True,0
2180,0,True,0
2182,1,True,0
2184,0,True,0
2186,0,True,0
2188,1,True,0
2190,1,False,0
2192,0,True,0
2194,1,True,0
2196,1,False,0
2198,0,True,0
2200,0,True,0
2202,1,True,1
2204,1,False,0
2206,1,True,0
2208,0,True,0
2210,0,True,0
2212,1,False,0
2214,1,True,0
2216,1,True,0
2218,1,True,0
2220,1,True,0
2222,0,True,0
2224,1,False,0
2226,1,False,0
2228,2,True,0
2230,1,True,1
2232,1,True,1
2234,1,True,0
2236,1,False,0
2238,0,True,0
2240,0,True,0
2242,0,True,0
2244,0,True,0
2246,1,False,0
2248,0,True,0
2250,1,True,0
2252,1,False,0
2254,0,True,0
2256,1,False,0
2258,1,True,0
2260,1,True,1
2262,0,True,0
2264,0,True,0
2266,1,False,0
2268,0,True,0
2270,0,True,0
2272,1,True,1
2274,0,True,0
2276,0,True,0
2278,2,False,0
2280,0,True,0
2282,1,False,0
2284,0,True,0
2286,1,False,0
2288,0,True,0
2290,0,True,0
2292,0,True,0
2294,0,True,0
2296,0,True,0
2298,1,True,0
2300,0,True,0
2302,2,True,1
2304,1,False,0
2306,1,False,0
2308,0,True,0
2310,1,False,0
2312,1,False,0
2314,0,True,0
2316,1,False,0
2318,0,True,0
2320,1,False,0
2322,1,True,0
2324,1,True,0
2326,0,True,0
2328,0,True,0
2330,1,True,0
2332,1,True,0
2334,1,False,0
2336,0,True,0
2338,0,True,0
2340,1,True,0
2342,1,True,0
2344,1,False,0
2346,1,True,0
2348,1,False,0
2350,1,True,0
2352,1,False,0
2354,1,False,0
2356,2,True,1
2358,1,False,0
2360,1,True,0
2362,1,False,0
2364,0,True,0
2366,1,True,1
2368,0,True,0
2370,0,True,0
2372,0,True,0
2374,0,True,0
2376,1,False,0
2378,1,True,0
2380,1,True,0
2382,2,True,2
2384,0,True,0
2386,1,False,0
2388,1,False,0
2390,3,True,0
2392,1,False,0
2394,0,True,0
2396,1,True,0
2398,1,False,0
2400,1,True,0
2402,1,True,0
2404,1,True,1
2406,1,True,1
2408,0,True,0
2410,1,False,0
2412,0,True,0
2414,2,True,1
2416,2,True,1
2418,0,True,0
2420,1,True,0
2422,1,True,0
2424,0,True,0
2426,0,True,0
2428,0,True,0
2430,1,False,0
2432,1,False,0
2434,0,True,0
2436,1,False,0
2438,1,True,1
2440,1,False,0
2442,2,True,2
2444,0,True,0
2446,1,False,0
2448,2,True,1
2450,1,False,0
2452,1,False,0
2454,2,True,1
2456,1,False,0
2458,0,True,0
2460,1,False,0
2462,1,True,0
2464,1,False,0
2466,0,True,0
2468,1,False,0
2470,1,True,0
2472,1,True,0
2474,1,False,0
2476,1,True,0
2478,1,False,0
2480,0,True,0
2482,1,False,0
2484,0,True,0
2486,0,True,0
2488,1,False,0
2490,1,True,0
2492,0,True,0
2494,1,False,0
2496,1,True,1
2498,1,False,0
2500,1,True,0
2502,0,True,0
2504,2,True,0
2506,1,True,0
2508,0,True,0
2510,1,True,0
2512,1,True,1
2514,0,True,0
2516,1,False,0
2518,0,True,0
2520,0,True,0
2522,2,True,1
2524,0,True,0
2526,0,True,0
2528,0,True,0
2530,0,True,0
2532,0,True,0
2534,1,False,0
2536,2,True,1
2538,0,True,0
2540,1,True,0
2542,1,False,0
2544,1,False,0
2546,1,False,0
2548,0,True,0
2550,1,True,1
2552,1,False,0
2554,2,False,0
2556,0,True,0
2558,1,False,0
2560,1,False,0
2562,1,True,1
2564,1,True,0
2566,0,True,0
2568,1,False,0
2570,1,True,0
2572,1,False,0
2574,0,True,0
2576,1,False,0
2578,1,False,0
2580,1,False,0
2582,1,True,0
2584,0,True,0
2586,0,True,0
2588,2,True,0
2590,0,True,0
2592,1,False,0
2594,1,True,0
2596,0,True,0
2598,1,False,0
2600,0,True,0
2602,1,True,0
2604,0,True,0
2606,1,False,0
2608,0,True,0
2610,1,True,0
2612,1,True,1
2614,2,True,1
2616,1,False,0
2618,0,True,0
2620,1,False,0
2622,1,False,0
2624,1,True,0
2626,0,True,0
2628,0,True,0
2630,0,True,0
2632,0,True,0
2634,0,True,0
2636,1,False,0
2638,0,True,0
2640,1,True,1
2642,1,True,1
2644,0,True,0
2646,2,False,0
2648,1,True,0
2650,1,False,0
2652,1,True,0
2654,1,True,0
2656,2,False,0
2658,0,True,0
2660,0,True,0
2662,0,True,0
2664,0,True,0
2666,1,True,1
2668,0,True,0
2670,0,True,0
2672,1,False,0
2674,1,False,0
2676,1,False,0
2678,0,True,0
2680,2,True,0
2682,0,True,0
2684,0,True,0
2686,0,True,0
2688,1,False,0
2690,0,True,0
2692,0,True,0
2694,1,False,0
2696,0,True,0
2698,1,False,0
2700,1,True,0
2702,0,True,0
2704,1,False,0
2706,2,True,1
2708,1,False,0
2710,1,True,0
2712,0,True,0
2714,1,True,1
2716,2,False,0
2718,1,False,0
2720,0,True,0
2722,1,False,0
2724,1,True,0
2726,1,True,1
2728,0,True,0
2730,1,False,0
2732,2,True,1
2734,1,False,0
2736,0,True,0
2738,0,True,0
2740,1,False,0
2742,0,True,0
2744,2,True,1
2746,1,True,0
2748,0,True,0
2750,0,True,0
2752,0,True,0
2754,1,True,0
2756,2,True,1
2758,1,False,0
2760,1,True,1
2762,1,False,0
2764,1,True,0
2766,0,True,0
2768,0,True,0
2770,0,True,0
2772,0,True,0
2774,1,False,0
2776,1,True,0
2778,1,False,0
2780,2,True,0
2782,1,False,0
2784,1,False,0
2786,1,False,0
2788,1,False,0
2790,0,True,0
2792,2,True,1
2794,0,True,0
2796,0,True,0
2798,0,True,0
2800,2,True,0
2802,0,True,0
2804,1,False,0
2806,2,True,0
2808,1,True,0
2810,0,True,0
2812,1,True,0
2814,1,False,0
2816,1,False,0
2818,2,True,1
2820,0,True,0
2822,1,True,0
2824,1,False,0
2826,1,False,0
2828,0,True,0
2830,1,True,0
2832,1,True,0
2834,1,True,0
2836,1,False,0
2838,0,True,0
2840,0,True,0
2842,0,True,0
2844,1,True,0
2846,2,True,2
2848,1,False,0
2850,0,True,0
2852,0,True,0
2854,0,True,0
2856,0,True,0
2858,1,False,0
2860,1,False,0
2862,1,False,0
2864,0,True,0
2866,3,True,2
2868,1,True,0
2870,0,True,0
2872,0,True,0
2874,0,True,0
2876,1,False,0
2878,0,True,0
2880,1,False,0
2882,0,True,0
2884,1,True,0
2886,0,True,0
2888,1,True,0
2890,1,True,1
2892,0,True,0
2894,0,True,0
2896,1,False,0
2898,1,False,0
2900,1,True,0
2902,0,True,0
2904,1,True,0
2906,0,True,0
2908,0,True,0
2910,1,False,0
2912,1,False,0
2914,0,True,0
2916,0,True,0
2918,1,True,1
2920,1,True,0
2922,0,True,0
2924,0,True,0
2926,0,True,0
2928,1,False,0
2930,1,True,0
2932,0,True,0
2934,1,False,0
2936,0,True,0
2938,1,False,0
2940,0,True,0
2942,1,False,0
2944,1,False,0
2946,0,True,0
2948,1,False,0
2950,0,True,0
2952,0,True,0
2954,1,False,0
2956,0,True,0
2958,0,True,0
2960,0,True,0
2962,0,True,0
2964,1,True,1
2966,0,True,0
2968,1,False,0
2970,1,False,0
2972,0,True,0
2974,2,True,1
2976,1,False,0
2978,1,False,0
2980,1,True,0
2982,1,False,0
2984,1,False,0
2986,0,True,0
2988,0,True,0
2990,0,True,0
2992,1,False,0
2994,1,True,0
2996,1,False,0
2998,1,False,0
3000,2,True,2
3002,0,True,0
3004,0,True,0
3006,1,False,0
3008,1,False,0
3010,0,True,0
3012,1,True,1
3014,1,False,0
3016,1,False,0
3018,1,False,0
3020,0,True,0
3022,0,True,0
3024,1,False,0
3026,0,True,0
3028,0,True,0
3030,2,False,0
3032,2,True,0
3034,0,True,0
3036,0,True,0
3038,0,True,0
3040,0,True,0
3042,1,False,0
3044,0,True,0
3046,1,True,0
3048,1,False,0
3050,1,True,0
3052,0,True,0
3054,1,False,0
3056,1,False,0
3058,1,False,0
3060,0,True,0
3062,1,False,0
3064,0,True,0
3066,1,True,1
3068,0,True,0
3070,0,True,0
3072,0,True,0
3074,1,False,0
3076,0,True,0
3078,0,True,0
3080,0,True,0
3082,0,True,0
3084,2,True,1
3086,0,True,0
3088,1,False,0
3090,1,False,0
3092,0,True,0
3094,0,True,0
3096,1,False,0
3098,1,True,0
3100,0,True,0
3102,1,False,0
3104,0,True,0
3106,2,False,0
3108,1,False,0
3110,0,True,0
3112,1,False,0
3114,0,True,0
3116,1,True,0
3118,0,True,0
3120,1,False,0
3122,0,True,0
3124,0,True,0
3126,0,True,0
3128,0,True,0
3130,2,True,1
3132,1,True,0
3134,1,True,0
3136,0,True,0
3138,1,False,0
3140,0,True,0
3142,1,True,0
3144,0,True,0
3146,2,False,0
3148,0,True,0
3150,1,False,0
3152,1,False,0
3154,0,True,0
3156,0,True,0
3158,1,False,0
3160,1,False,0
3162,1,True,1
3164,1,False,0
3166,1,False,0
3168,1,False,0
3170,0,True,0
3172,1,True,0
3174,1,False,0
3176,0,True,0
3178,1,False,0
3180,0,True,0
3182,1,False,0
3184,1,True,0
3186,1,False,0
3188,0,True,0
3190,0,True,0
3192,0,True,0
3194,0,True,0
3196,2,False,0
3198,1,True,1
3200,0,True,0
3202,1,False,0
3204,2,True,0
3206,1,True,0
3208,0,True,0
3210,0,True,0
3212,1,False,0
