N,analytic_rank,found_generators,generators_on_connected_component
4,1,True,1
6,1,True,1
8,0,True,0
10,1,True,1
12,1,True,1
14,1,True,1
16,1,True,1
18,1,True,1
20,0,True,0
22,0,True,0
24,1,True,1
26,0,True,0
28,1,True,1
30,0,True,0
32,1,True,1
34,2,True,2
36,0,True,0
38,1,True,1
40,1,True,0
42,1,True,1
44,1,True,0
46,1,True,1
48,1,True,1
50,1,True,0
52,0,True,0
54,0,True,0
56,0,True,0
58,1,True,1
60,1,True,1
62,0,True,0
64,0,True,0
66,1,True,1
68,1,True,0
70,0,True,0
72,0,True,0
74,0,True,0
76,1,True,1
78,0,True,0
80,1,True,0
82,1,True,1
84,0,True,0
86,0,True,0
88,0,True,0
90,0,True,0
92,1,True,1
94,2,True,1
96,0,True,0
98,2,True,1
100,0,True,0
102,1,True,1
104,1,True,0
106,1,True,0
108,0,True,0
110,1,True,0
112,1,True,1
114,2,True,1
116,1,True,1
118,0,True,0
120,0,True,0
122,0,True,0
124,1,True,0
126,1,False,0
128,1,True,0
130,1,True,1
132,1,True,1
134,0,True,0
136,1,True,1
138,0,True,0
140,0,True,0
142,0,True,0
144,2,True,1
146,1,True,1
148,0,True,0
150,0,True,0
152,2,True,1
154,0,True,0
156,1,False,0
158,1,True,1
160,2,True,1
162,1,True,1
164,0,True,0
166,2,True,1
168,0,True,0
170,1,True,0
172,0,True,0
174,0,True,0
176,1,True,0
178,1,True,1
180,1,True,0
182,1,True,1
184,1,True,1
186,1,True,1
188,0,True,0
190,0,True,0
192,0,True,0
194,0,True,0
196,1,True,1
198,1,False,0
200,1,True,1
202,0,True,0
204,0,True,0
206,1,False,0
208,0,True,0
210,0,True,0
212,0,True,0
214,2,True,1
216,1,True,0
218,1,True,1
220,1,True,0
222,0,True,0
224,1,True,0
226,1,True,0
228,2,True,2
230,1,True,0
232,1,True,1
234,1,True,0
236,1,True,0
238,1,True,0
240,0,True,0
242,0,True,0
244,2,True,1
246,0,True,0
248,1,True,0
250,0,True,0
252,0,True,0
254,1,True,0
256,1,True,0
258,2,True,1
260,2,True,0
262,0,True,0
264,0,True,0
266,1,True,1
268,2,True,1
270,1,True,1
272,0,True,0
274,1,True,0
276,1,True,1
278,0,True,0
280,0,True,0
282,1,True,1
284,0,True,0
286,0,True,0
288,0,True,0
290,1,True,0
292,0,True,0
294,0,True,0
296,0,True,0
298,0,True,0
300,2,True,1
302,0,True,0
304,1,False,0
306,0,True,0
308,0,True,0
310,1,True,1
312,1,True,1
314,1,True,1
316,0,True,0
318,1,False,0
320,1,True,0
322,0,True,0
324,2,True,0
326,0,True,0
328,1,False,0
330,1,True,0
332,1,True,1
334,1,True,0
336,1,True,1
338,1,True,1
340,0,True,0
342,1,True,0
344,0,True,0
346,1,True,1
348,1,True,1
350,0,True,0
352,0,True,0
354,0,True,0
356,0,True,0
358,1,True,0
360,1,True,0
362,1,True,1
364,1,True,1
366,0,True,0
368,0,True,0
370,1,True,0
372,1,True,0
374,0,True,0
376,0,True,0
378,1,False,0
380,1,True,0
382,1,True,1
384,2,True,1
386,1,True,0
388,1,True,1
390,1,True,0
392,0,True,0
394,1,False,0
396,0,True,0
398,1,True,0
400,0,True,0
402,1,False,0
404,1,True,0
406,2,True,1
408,1,False,0
410,1,True,0
412,0,True,0
414,0,True,0
416,0,True,0
418,0,True,0
420,1,True,0
422,1,True,1
424,3,True,1
426,2,True,2
428,1,True,0
430,0,True,0
432,0,True,0
434,0,True,0
436,0,True,0
438,1,True,1
440,1,True,0
442,1,False,0
444,1,True,0
446,0,True,0
448,0,True,0
450,1,True,0
452,1,True,0
454,1,True,0
456,0,True,0
458,1,False,0
460,1,True,0
462,0,True,0
464,0,True,0
466,2,True,1
468,1,True,0
470,0,True,0
472,0,True,0
474,0,True,0
476,0,True,0
478,0,True,0
480,0,True,0
482,0,True,0
484,1,True,0
486,2,True,1
488,1,False,0
490,1,True,0
492,1,True,1
494,0,True,0
496,0,True,0
498,1,True,0
500,1,True,0
502,0,True,0
504,0,True,0
506,2,True,1
508,0,True,0
510,1,True,1
512,1,True,1
514,0,True,0
516,0,True,0
518,0,True,0
520,2,True,0
522,1,True,1
524,1,True,0
526,1,False,0
528,0,True,0
530,1,False,0
532,0,True,0
534,1,True,0
536,1,False,0
538,1,True,0
540,1,True,0
542,0,True,0
544,1,True,0
546,0,True,0
548,1,False,0
550,0,True,0
552,0,True,0
554,1,True,0
556,2,True,1
558,0,True,0
560,0,True,0
562,1,False,0
564,1,True,1
566,0,True,0
568,1,True,0
570,0,True,0
572,1,True,0
574,0,True,0
576,0,True,0
578,1,True,1
580,2,True,1
582,2,True,1
584,0,True,0
586,0,True,0
588,0,True,0
590,0,True,0
592,2,True,2
594,0,True,0
596,0,True,0
598,1,True,0
600,1,True,0
602,1,True,0
604,2,True,1
606,1,True,1
608,0,True,0
610,0,True,0
612,1,True,1
614,0,True,0
616,1,False,0
618,2,True,1
620,2,True,1
622,1,True,1
624,2,True,1
626,1,False,0
628,1,True,0
630,1,True,0
632,0,True,0
634,1,True,0
636,1,False,0
638,0,True,0
640,0,True,0
642,1,True,1
644,1,False,0
646,0,True,0
648,0,True,0
650,1,True,0
652,0,True,0
654,1,True,1
656,0,True,0
658,2,True,1
660,1,True,1
662,0,True,0
664,1,True,1
666,0,True,0
668,0,True,0
670,1,False,0
672,0,True,0
674,0,True,0
676,2,True,1
678,0,True,0
680,3,True,0
682,0,True,0
684,1,True,0
686,1,True,1
688,1,False,0
690,1,True,1
692,1,False,0
694,0,True,0
696,0,True,0
698,1,False,0
700,0,True,0
702,0,True,0
704,0,True,0
706,2,True,1
708,0,True,0
710,1,True,0
712,0,True,0
714,1,True,1
716,0,True,0
718,1,False,0
720,0,True,0
722,2,True,0
724,1,True,1
726,1,True,0
728,1,False,0
730,1,False,0
732,1,True,1
734,0,True,0
736,1,True,0
738,0,True,0
740,0,True,0
742,0,True,0
744,1,False,0
746,1,False,0
748,0,True,0
750,1,True,0
752,0,True,0
754,2,True,0
756,1,False,0
758,1,True,0
760,2,True,1
762,1,True,1
764,0,True,0
766,1,True,0
768,1,True,0
770,0,True,0
772,0,True,0
774,1,True,1
776,1,True,1
778,1,True,0
780,0,True,0
782,2,True,1
784,1,True,0
786,0,True,0
788,0,True,0
790,2,True,0
792,0,True,0
794,1,True,0
796,1,False,0
798,1,False,0
800,0,True,0
802,1,True,0
804,0,True,0
806,1,True,0
808,1,False,0
810,1,True,0
812,1,True,1
814,0,True,0
816,2,True,1
818,1,False,0
820,1,True,0
822,0,True,0
824,1,True,0
826,2,True,1
828,1,True,0
830,0,True,0
832,1,False,0
834,0,True,0
836,1,False,0
838,1,True,0
840,1,False,0
842,0,True,0
844,0,True,0
846,1,False,0
